,cod_semana,total_valor,total_volumen,total_unidades
92,93,291954.19000000024,193950.2900000005,427864.3165600002
93,94,253025.91000000006,161823.15999999992,354626.8400000005
94,95,235211.22000000026,145029.88999999993,312480.14000000025
95,96,235586.28999999998,144690.49000000025,309380.48999999947
96,97,273727.73999999993,168424.30999999976,372369.75999999995
97,98,231705.04,138600.1899999998,278031.61247000005
98,99,263670.57000000036,164330.34999999954,327280.7273299997
99,100,443229.62644999963,266412.94999999955,516887.2892799996
100,101,294133.3699999996,175749.99999999994,358954.9435199993
101,102,167963.00999999995,100034.77000000002,200653.8600000002
102,103,239532.33999999965,142424.03999999995,300125.0500000001
103,104,242449.83,155535.1899999998,317506.23000000004
104,105,263180.2399999996,175950.71999999956,380490.6595600006
105,106,264035.9799999999,177971.82000000018,364074.90197
106,107,254755.8199999999,168125.86000000002,356860.02244000003
107,108,236853.5399999998,146129.46,310549.90000000043
108,109,278936.2000000001,175178.34999999986,359714.9599999994
109,110,261820.63,166036.63999999996,340072.9581800002
110,111,255633.79999999987,162665.11000000022,332775.1970599999
111,112,275802.83999999973,173626.12999999977,366505.65000000055
112,113,268965.4299999997,175267.95999999976,379675.54999999976
113,114,271800.3099999998,176173.42000000013,380303.5600000002
114,115,264081.09999999957,165246.2299999994,335612.3099999998
115,116,257722.67000000016,158590.85999999937,321906.9600000001
116,117,286238.34999999986,182781.04000000012,366515.6300000003
117,118,390692.2199999998,240049.30000000022,428441.60144999984
118,119,319284.9899999999,207460.6099999999,393797.5371900001
119,120,357340.66999999946,238899.52,453630.2300000004
120,121,311059.49000000005,197092.85000000012,364825.5399999995
121,122,334730.80000000016,210279.52000000005,401259.43908999965
122,123,338169.81999999966,218675.60000000033,453232.7895299998
123,124,334478.1799999997,216545.29000000004,447507.0598000004
124,125,359024.3399999991,228189.20000000016,433083.6000000002
125,126,399461.2699999997,250008.8499999998,474772.62380000006
126,127,417857.37999999954,259200.4799999997,505742.11203
127,128,379505.12000000046,238463.0400000001,475166.56712000084
128,129,401060.87,252010.94999999995,509284.9771600006
129,130,361433.27000000014,231498.14999999997,466667.7783000004
130,131,386374.38999999984,246418.85000000012,483480.54169000057
131,132,432277.77000000083,275703.2000000001,551385.8921600006
132,133,393985.8500000004,244740.47,476187.6733600001
133,134,360228.0299999999,220948.55000000022,398387.3200000003
134,135,369919.4700000002,232662.17999999982,474266.0093200007
135,136,380390.95000000007,245383.81000000026,532929.9871499997
136,137,342046.89000000025,214503.19,441762.8399999999
137,138,334068.0300000005,205796.81999999975,391458.0350699999
138,139,351797.56999999995,221737.60999999984,430319.3061400003
139,140,370746.22000000015,234560.95000000004,485037.77999999997
