,cod_semana,total_valor,total_volumen,total_unidades
117,118,5640967.412340002,3842899.433730009,6124603.742469991
118,119,4999380.569529976,3330286.7606699937,5349425.33665002
119,120,5289409.868870014,3613974.8028299967,5507463.247680008
120,121,5332277.52080997,3648441.624470015,5688113.738049968
121,122,5535328.265289998,3725082.8105900045,5850308.285829993
122,123,5373520.099370033,3696671.5236500143,5674357.075550014
123,124,5360469.787959988,3716607.71975999,5748000.389820022
124,125,5933779.514549972,4201811.473590012,6636440.058039989
125,126,6685521.326479991,4550639.721840018,7204481.069319984
126,127,6546360.949780002,4482458.808300031,7124031.217640073
127,128,6319146.0282199895,4280496.864130005,6757747.996610005
128,129,6379421.860380025,4387828.487090027,7049421.404300046
129,130,6151089.210949999,4200761.820200002,6645711.796250022
130,131,6402129.82886998,4491044.67345999,7230386.870340031
131,132,6929787.683039967,4792110.420179989,7575320.441729993
132,133,6592895.505860005,4516106.9946500035,7205545.484050003
133,134,6263368.3174000075,4450381.277609975,6686686.018039978
134,135,6184044.922899991,4278406.863749978,6729069.22245994
135,136,6228860.10267999,4281485.7384299785,7003444.978559987
136,137,5617090.844639996,3692455.7792500085,6049522.362769983
137,138,5693853.406969993,3787797.6018999796,6090887.626449949
138,139,5563847.071410034,3786306.663589982,5993662.538400027
139,140,5586924.9883900145,3742947.669810005,5961265.644679991
